ts_code,symbol,name,area,industry,list_date
SZ000001,000001,平安银行,深圳,银行,19910403
SZ000002,000002,万科A,深圳,全国地产,19910129
SZ000004,000004,国华网安,深圳,软件服务,19910114
SZ000005,000005,ST星源,深圳,环境保护,19901210
SZ000006,000006,深振业A,深圳,区域地产,19920427
SZ000007,000007,*ST全新,深圳,其他商业,19920413
SZ000008,000008,神州高铁,北京,运输设备,19920507
SZ000009,000009,中国宝安,深圳,电气设备,19910625
SZ000010,000010,美丽生态,深圳,建筑工程,19951027
SZ000011,000011,深物业A,深圳,区域地产,19920330
SZ000012,000012,南玻A,深圳,玻璃,19920228
SZ000014,000014,沙河股份,深圳,全国地产,19920602
SZ000016,000016,深康佳A,深圳,家用电器,19920327
SZ000017,000017,深中华A,深圳,服饰,19920331
SZ000019,000019,深粮控股,深圳,农业综合,19921012
SZ000020,000020,深华发A,深圳,元器件,19920428
SZ000021,000021,深科技,深圳,元器件,19940202
SZ000023,000023,ST深天,深圳,水泥,19930429
SZ000025,000025,特力A,深圳,汽车服务,19930621
SZ000026,000026,飞亚达,深圳,服饰,19930603
SZ000027,000027,深圳能源,深圳,火力发电,19930903
SZ000028,000028,国药一致,深圳,医药商业,19930809
SZ000029,000029,深深房A,深圳,区域地产,19930915
SZ000030,000030,富奥股份,吉林,汽车配件,19930929
SZ000031,000031,大悦城,深圳,全国地产,19931008
SZ000032,000032,深桑达A,深圳,建筑工程,19931028
SZ000034,000034,神州数码,深圳,软件服务,19940509
SZ000035,000035,中国天楹,江苏,环境保护,19940408
SZ000036,000036,华联控股,深圳,全国地产,19940617
SZ000037,000037,深南电A,深圳,火力发电,19940701
SZ000039,000039,中集集团,深圳,运输设备,19940408
SZ000040,000040,东旭蓝天,深圳,新型电力,19940808
SZ000042,000042,中洲控股,深圳,全国地产,19940921
SZ000045,000045,深纺织A,深圳,元器件,19940815
SZ000048,000048,京基智农,深圳,区域地产,19941101
SZ000049,000049,德赛电池,深圳,电气设备,19950320
SZ000050,000050,深天马A,深圳,元器件,19950315
SZ000055,000055,方大集团,深圳,装修装饰,19960415
SZ000056,000056,皇庭国际,深圳,房产服务,19960708
SZ000058,000058,深赛格,深圳,商品城,19961226
SZ000059,000059,华锦股份,辽宁,石油加工,19970130
SZ000060,000060,中金岭南,深圳,铅锌,19970123
SZ000061,000061,农产品,深圳,农业综合,19970110
SZ000062,000062,深圳华强,深圳,元器件,19970130
SZ000063,000063,中兴通讯,深圳,通信设备,19971118
SZ000065,000065,北方国际,北京,建筑工程,19980605
SZ000066,000066,中国长城,深圳,IT设备,19970626
SZ000068,000068,华控赛格,深圳,环境保护,19970611
SZ000069,000069,华侨城A,深圳,全国地产,19970910
SZ000070,000070,特发信息,深圳,通信设备,20000511
SZ000078,000078,海王生物,深圳,医药商业,19981218
SZ000088,000088,盐田港,深圳,港口,19970728
SZ000089,000089,深圳机场,深圳,机场,19980420
SZ000090,000090,天健集团,深圳,建筑工程,19990721
SZ000096,000096,广聚能源,深圳,石油贸易,20000724
SZ000099,000099,中信海直,深圳,空运,20000731
SZ000100,000100,TCL科技,广东,元器件,20040130
SZ000151,000151,中成股份,北京,商贸代理,20000906
SZ000153,000153,丰原药业,安徽,化学制药,20000920
SZ000155,000155,川能动力,四川,新型电力,20000926
SZ000156,000156,华数传媒,浙江,影视音像,20000906
SZ000157,000157,中联重科,湖南,工程机械,20001012
